αι ;;2580
 κα;;1683
και;;1403
 το;;1325
ον ;;1249
 ου;;951
ων ;;909
ου ;;894
ι τ;;871
ν τ;;842
ιν ;;798
εν ;;796
αυτ;;778
ειν;;773
ν ε;;771
του;;765
 ει;;745
μεν;;742
τα ;;736
ι ε;;731
ος ;;713
ν α;;697
ις ;;667
ι α;;666
το ;;660
ει ;;623
 αν;;600
ην ;;583
ως ;;576
τι ;;571
ς ε;;566
αλλ;;562
 αλ;;554
αν ;;552
ι ο;;545
υτο;;539
 αυ;;533
οι ;;528
ν ο;;518
ς α;;499
 με;;495
ουτ;;492
 τα;;483
 πα;;477
ωι ;;476
δε ;;474
τε ;;470
 η ;;469
 δε;;464
ς τ;;464
ας ;;463
των;;456
ν κ;;448
ι π;;439
ι κ;;412
τον;;409
ναι;;405
 τι;;398
 εν;;395
ης ;;390
α τ;;368
 τω;;355
τοι;;352
περ;;348
 τε;;342
ται;;338
ηι ;;336
 τη;;335
 πο;;334
ν π;;328
υτω;;326
 απ;;321
 επ;;316
 πρ;;312
ς ο;;311
ινα;;308
ρον;;307
 εκ;;302
ι δ;;302
 δι;;297
υν ;;295
ς κ;;285
οντ;;280
υς ;;278
θαι;;277
την;;274
σθα;;274
ντα;;270
ι μ;;270
κει;;269
 γε;;269
αντ;;268
τωι;;266
 οι;;266
 εφ;;266
αρ ;;265
ν η;;260
ους;;257
ουν;;254
 μη;;254
ν δ;;252
 ο ;;251
εφη;;250
α ε;;249
 πε;;249
ανα;;248
φη ;;246
 σω;;245
ενο;;238
ι η;;238
ες ;;237
δη ;;236
τερ;;236
ια ;;236
εις;;235
λεγ;;229
παν;;224
ομε;;224
λλα;;224
γαρ;;222
ε κ;;222
 γα;;221
ιον;;220
προ;;218
εστ;;216
οις;;216
υτα;;215
γε ;;212
τιν;;210
ς π;;210
ατο;;209
ερο;;209
ν μ;;209
ουδ;;208
τος;;206
ουσ;;206
 οτ;;204
 δη;;203
λλο;;202
πολ;;201
οτε;;201
υτη;;200
 λε;;200
απο;;199
 εσ;;198
λα ;;198
 αρ;;196
ταυ;;196
η τ;;196
ετα;;195
η ο;;194
πει;;194
η ε;;193
ι σ;;186
δια;;184
στι;;182
ε τ;;182
α α;;180
της;;177
λογ;;177
η α;;174
εσθ;;174
ς δ;;173
ενα;;171
α κ;;170
οτι;;169
οιο;;167
 ως;;166
 συ;;165
 ω ;;164
χει;;164
ρατ;;163
 ημ;;163
ερι;;163
 εχ;;162
ο τ;;160
υδε;;160
ρα ;;160
εγε;;159
μοι;;159
ερ ;;159
μη ;;156
 αι;;155
επι;;154
τες;;154
σιν;;154
ατα;;154
ι γ;;153
νος;;152
 ψυ;;152
ψυχ;;152
ουκ;;151
ντι;;151
ε α;;150
παρ;;149
ν γ;;147
ιστ;;146
εχε;;145
εκε;;144
ματ;;144
νον;;143
κρα;;142
αρα;;140
ν ω;;140
 ετ;;139
ιου;;139
ε ε;;138
 δ ;;138
η δ;;138
α ο;;136
υ τ;;135
ρι ;;135
 λο;;135
α π;;134
ς η;;133
 μο;;132
ελε;;130
η κ;;130
 εγ;;128
ινο;;128
ι ω;;127
ιας;;127
υχη;;126
κατ;;125
υ α;;124
τας;;124
ατε;;123
εγω;;123
ς μ;;123
ωμα;;123
δεν;;122
ολλ;;122
ο ε;;122
 υπ;;122
στα;;121
υσα;;120
 ωσ;;120
επε;;119
σωκ;;117
ωκρ;;117
η π;;117
 ον;;116
ο σ;;116
σωμ;;116
δει;;115
 φα;;114
γει;;114
 κε;;114
ιαν;;113
α δ;;113
τηι;;112
ντο;;112
ειδ;;111
ποι;;111
νου;;110
μια;;110
ν σ;;109
να ;;109
 δο;;109
υ ε;;108
ι φ;;108
α μ;;108
 μα;;108
κου;;107
ο α;;107
θαν;;107
ρος;;107
μα ;;107
νοι;;106
μον;;106
γεν;;105
ς γ;;105
τως;;105
που;;104
εισ;;104
ο κ;;104
υκ ;;103
μαι;;103
ω σ;;103
υ π;;102
 εμ;;102
 χρ;;101
ογο;;100
ενε;;99
ποτ;;99
λλ ;;99
ο δ;;98
ντε;;98
ονο;;97
ετε;;96
νυν;;96
ι λ;;94
νει;;93
ν λ;;93
τις;;92
ενη;;92
 θε;;92
ε ο;;91
στε;;91
εβη;;91
λον;;91
σα ;;91
αττ;;90
νατ;;90
γω ;;90
θει;;90
σπε;;90
κεβ;;90
ανθ;;90
υσι;;89
 ελ;;89
 σι;;89
ιγν;;88
ναν;;88
ρει;;88
ρ ε;;88
δ ο;;88
 θα;;87
σιμ;;87
νεσ;;87
ροσ;;87
δοκ;;87
ς ω;;86
θεν;;86
υ ο;;86
γιγ;;86
γον;;86
ιμμ;;86
ε π;;86
καλ;;86
υ κ;;85
μμι;;85
ημα;;85
τιο;;85
ησα;;84
λου;;83
ε δ;;83
εγο;;83
υ μ;;83
οια;;83
αλη;;83
ωσπ;;82
αμε;;82
βης;;82
συν;;81
νη ;;81
εκα;;80
ρου;;80
θρω;;80
ληθ;;80
αστ;;79
 σο;;79
ε μ;;79
νθρ;;79
