Id;Label;Classes;Group
0;tlg0032005apologia.replicatio.v03.txt;tlg0032005apologia.r;1
1;tlg0007096tranquillitate.replicatio.v03.txt;tlg0007096tranquilli;2
2;tlg0007095ira.replicatio.v03.txt;tlg0007095ira.replic;3
3;tlg0059038axiochus.replicatio.v03.txt;tlg0059038axiochus.r;4
4;tlg0059008politicus.replicatio.v03.txt;tlg0059008politicus.;5
5;tlg0059004phaedo.replicatio.v03.txt;tlg0059004phaedo.rep;6
6;tlg0059034leges.replicatio.v03.txt;tlg0059034leges.repl;7
7;tlg0059002apologia.replicatio.v03.txt;tlg0059002apologia.r;8
