αι ;;906
 κα;;605
και;;502
 ου;;453
ων ;;445
ον ;;431
 το;;410
οι ;;406
ιν ;;389
ου ;;352
του;;347
 ει;;322
ειν;;321
ν ε;;317
ι ε;;310
 αν;;308
ι τ;;307
ος ;;306
εν ;;289
ν τ;;286
ουτ;;272
 με;;262
ις ;;261
ν α;;260
τε ;;259
αυτ;;255
μεν;;252
υτο;;252
ι ο;;246
ς ε;;245
ν ο;;244
ει ;;229
αν ;;225
ι α;;223
τι ;;221
ς α;;221
 δε;;219
υς ;;217
αλλ;;217
 αλ;;214
τα ;;212
ους;;211
ως ;;207
 πο;;206
δε ;;200
 οι;;192
ην ;;192
 τι;;188
ναι;;185
των;;183
ωι ;;179
ν κ;;171
ι δ;;170
ες ;;166
ι π;;166
 δι;;161
ς τ;;159
ι κ;;155
ι μ;;154
 τα;;151
ν π;;144
πολ;;144
οντ;;143
ας ;;142
τον;;142
 υμ;;140
εγω;;138
 αυ;;135
 εγ;;132
αρ ;;132
 πα;;132
ς ο;;132
τοι;;131
 απ;;130
 εμ;;129
ουν;;129
υτω;;127
ινα;;127
γαρ;;126
 γα;;125
λεγ;;124
 πρ;;124
ν μ;;123
γω ;;122
υν ;;121
το ;;121
 τω;;120
 επ;;120
 μη;;119
 εν;;116
 η ;;116
 εσ;;111
ντα;;110
λλο;;109
 τη;;108
ουδ;;106
ενο;;106
ν δ;;106
τιν;;106
 ω ;;105
 λε;;103
περ;;103
ς κ;;103
μοι;;99
εστ;;99
ταυ;;99
 μο;;97
 οτ;;95
στι;;95
δια;;94
ται;;92
οτι;;91
ω α;;91
α ε;;91
υδε;;91
ς δ;;91
ς π;;91
 δη;;89
πει;;88
ανδ;;87
νδρ;;87
σθα;;87
δεν;;86
αντ;;86
λλα;;86
θαι;;85
απο;;84
τωι;;84
οιο;;84
δη ;;83
εις;;82
τος;;82
α τ;;82
ηι ;;82
 πε;;80
ε α;;80
εισ;;80
ια ;;80
ποι;;80
τερ;;80
κει;;79
ν η;;79
ε τ;;78
ι ω;;77
ντε;;77
ης ;;76
ιστ;;75
μαι;;75
 τε;;75
οις;;75
ρες;;74
 γε;;74
ιου;;74
ρον;;73
δρε;;72
επι;;72
 εκ;;72
μελ;;72
τες;;71
την;;70
λα ;;70
υτα;;70
κατ;;69
νος;;69
ε ο;;69
ομε;;69
γον;;68
 ως;;68
ολλ;;68
μη ;;67
δικ;;67
ανα;;66
ερ ;;66
προ;;66
τις;;66
εγο;;65
ικα;;65
εσθ;;65
νομ;;65
ερο;;65
σιν;;64
μου;;64
 θε;;64
 σο;;63
ιοι;;62
εμο;;62
ε κ;;62
αιο;;61
ουσ;;61
ε μ;;61
ιον;;61
ν ω;;60
δει;;60
οτε;;60
ετα;;60
γει;;59
παν;;59
με ;;59
μιν;;59
ουκ;;58
ντι;;58
ητε;;57
η α;;56
α α;;56
θην;;55
υκ ;;55
 μα;;55
θει;;55
αθη;;54
ηνα;;54
