Id;Label;Classes;Group
0;DEU008.xml;DEU008.xml;1
1;DEU012.xml;DEU012.xml;2
2;DEU017.xml;DEU017.xml;3
3;DEU023.xml;DEU023.xml;4
4;DEU033.xml;DEU033.xml;5
5;DEU046.xml;DEU046.xml;6
6;DEU051.xml;DEU051.xml;7
7;DEU058.xml;DEU058.xml;8
8;DEU060.xml;DEU060.xml;9
9;DEU063.xml;DEU063.xml;10
10;DEU064.xml;DEU064.xml;11
11;DEU080.xml;DEU080.xml;12
12;DEU083.xml;DEU083.xml;13
13;DEU086.xml;DEU086.xml;14
14;DEU088.xml;DEU088.xml;15
15;DEU090.xml;DEU090.xml;16
16;DEU091.xml;DEU091.xml;17
17;DEU092.xml;DEU092.xml;18
18;DEU093.xml;DEU093.xml;19
19;DEU098.xml;DEU098.xml;20
